expression,meaning,example,domain
ide@ans,"answer, reply aspect of idea, concept, notion",ide@ans = combined cognition,cognitive
ide@bad,"bad aspect of idea, concept, notion",ide@bad = bad thinking,cognitive
ide@bea,"beautiful aspect of idea, concept, notion",ide@bea = beautiful thinking,cognitive
ide@bel,"below aspect of idea, concept, notion",ide@bel = combined cognition,cognitive
ide@con,"contraction aspect of idea, concept, notion",ide@con = contraction thinking,cognitive
ide@dou,"doubting aspect of idea, concept, notion",ide@dou = combined cognition,cognitive
ide@goo,"good aspect of idea, concept, notion",ide@goo = good thinking,cognitive
ide@imp,"implode, collapse aspect of idea, concept, notion","ide@imp = implode, collapse thinking",cognitive
ide@mem,"memory, storage aspect of idea, concept, notion",ide@mem = combined cognition,cognitive
ide@nec,"neck, connect aspect of idea, concept, notion","ide@nec = neck, connect thinking",cognitive
ide@per,"perceive, sense aspect of idea, concept, notion","ide@per = perceive, sense thinking",cognitive
ide@que,"question, query aspect of idea, concept, notion",ide@que = combined cognition,cognitive
ide@rea,"real aspect of idea, concept, notion",ide@rea = combined cognition,cognitive
ide@slo,"slope, incline aspect of idea, concept, notion","ide@slo = slope, incline thinking",cognitive
ide@str,"strong aspect of idea, concept, notion",ide@str = strong thinking,cognitive
ide@und,"understanding aspect of idea, concept, notion",ide@und = combined cognition,cognitive
ide@wea,"weak aspect of idea, concept, notion",ide@wea = weak thinking,cognitive
ide@wis,"wisdom, insight aspect of idea, concept, notion",ide@wis = combined cognition,cognitive
idealism@ang,emotional coloring of mind over matter,idealism@ang,cognitive
idealism@cal,emotional coloring of mind over matter,idealism@cal,cognitive
idealism@des,emotional coloring of mind over matter,idealism@des,cognitive
idealism@gra,emotional coloring of mind over matter,idealism@gra,cognitive
idealism@hop,emotional coloring of mind over matter,idealism@hop,cognitive
idealism@joy,emotional coloring of mind over matter,idealism@joy,cognitive
idealism@lov,emotional coloring of mind over matter,idealism@lov,cognitive
idealism@pru,emotional coloring of mind over matter,idealism@pru,cognitive
idealism@sad,emotional coloring of mind over matter,idealism@sad,cognitive
idealism@wro,emotional coloring of mind over matter,idealism@wro,cognitive
iff@ome,"omega, last of if-then, conditional",iff@ome,abstract
ima@fac,"factor, divisor of imagining",ima@fac,cognitive
imp@bad,"bad form of implode, collapse",imp@bad = combined quality,abstract
imp@bea,"beautiful form of implode, collapse",imp@bea = combined quality,abstract
imp@con,"contraction form of implode, collapse",imp@con = combined quality,abstract
imp@goo,"good form of implode, collapse",imp@goo = combined quality,abstract
imp@nec,"neck, connect form of implode, collapse",imp@nec = combined quality,abstract
imp@per,"perceive, sense form of implode, collapse",imp@per = combined quality,abstract
imp@str,"strong form of implode, collapse",imp@str = combined quality,abstract
inf@bad,bad form of inference,inf@bad = bad inference,abstract
inf@bea,beautiful form of inference,inf@bea = beautiful inference,abstract
inf@chi,child of inference,inf@chi,abstract
inf@con,contraction form of inference,inf@con = contraction inference,abstract
inf@goo,good form of inference,inf@goo = good inference,abstract
inf@imp,"implode, collapse form of inference","inf@imp = implode, collapse inference",abstract
inf@nec,"neck, connect form of inference","inf@nec = neck, connect inference",abstract
inf@per,"perceive, sense form of inference","inf@per = perceive, sense inference",abstract
inf@slo,"slope, incline form of inference","inf@slo = slope, incline inference",abstract
inf@str,strong form of inference,inf@str = strong inference,abstract
inf@wea,weak form of inference,inf@wea = weak inference,abstract
ins@bad,bad inside,ins@bad = type of inside,living
ins@bea,beautiful inside,ins@bea = type of inside,living
ins@cat,"how inside can catalyst, accelerator",ins@cat = capability,living
ins@cen,center from inside,ins@cen = spatial relationship,spatial
ins@con,contraction inside,ins@con = type of inside,living
ins@dow,downward from inside,ins@dow = spatial relationship,spatial
ins@edg,edge from inside,ins@edg = spatial relationship,spatial
ins@far,far from inside,ins@far = spatial relationship,spatial
ins@goo,good inside,ins@goo = type of inside,living
ins@imp,"implode, collapse inside",ins@imp = type of inside,living
ins@jum,"how inside can jump, leap",ins@jum = capability,living
ins@lea,how inside can leader,ins@lea = capability,living
ins@nea,near from inside,ins@nea = spatial relationship,spatial
ins@nec,"neck, connect inside",ins@nec = type of inside,living
ins@nox,darkness-related of inside,ins@nox,spatial
ins@out,outside from inside,ins@out = spatial relationship,spatial
ins@per,"perceive, sense inside",ins@per = type of inside,living
ins@pul,how inside can pulling,ins@pul = capability,living
ins@pus,how inside can pushing,ins@pus = capability,living
ins@run,"how inside can run, fast move",ins@run = capability,living
ins@slo,"slope, incline inside",ins@slo = type of inside,living
ins@str,strong inside,ins@str = type of inside,living
ins@thr,"how inside can thread, string",ins@thr = capability,living
ins@up,upward from inside,ins@up = spatial relationship,spatial
ins@wal,"how inside can wall, barrier",ins@wal = capability,living
ins@wea,weak inside,ins@wea = type of inside,living
int@rev,"perceive revision: reconsidering, backtracki through intuition, sense",int@rev,cognitive
int@rsn,"perceive resonant, feels right (LLM success  through intuition, sense",int@rsn,cognitive
int@sed,"perceive seed, origin through intuition, sense",int@sed,cognitive
int@see,"perceive seeing through intuition, sense",int@see,cognitive
int@seh,"perceive see, perceive visually through intuition, sense",int@seh,cognitive
int@sme,"perceive smelling through intuition, sense",int@sme,cognitive
int@src,"perceive search, seek, look for through intuition, sense",int@src,cognitive
iro@aer,air-related aspect of iron/metal,iro@aer,physical
iro@aqu,water-related aspect of iron/metal,iro@aqu,physical
iro@ari,"desert, arid aspect of iron/metal",iro@ari,physical
iro@ash,"ash, burnt residue aspect of iron/metal",iro@ash,physical
iro@ato,"atom, particle aspect of iron/metal",iro@ato,physical
iro@big,"large, big aspect of iron/metal",iro@big,physical
iro@blf,"cliff, precipice aspect of iron/metal",iro@blf,physical
iro@bol,"boil, bubble aspect of iron/metal",iro@bol,physical
iro@bur,burning aspect of iron/metal,iro@bur,physical
iro@cav,"cave, cavern aspect of iron/metal",iro@cav,physical
iro@che,"chemical, reaction aspect of iron/metal",iro@che,physical
iro@clo,"cloud, vapor aspect of iron/metal",iro@clo,physical
iro@con,contraction aspect of iron/metal,iro@con,physical
iro@cry,"crystal, lattice aspect of iron/metal",iro@cry,physical
iro@dam,blocking aspect of iron/metal,iro@dam,physical
iro@den,"dense, compact aspect of iron/metal",iro@den,physical
iro@dim,"dim, faint aspect of iron/metal",iro@dim,physical
iro@dry,"dry, parched aspect of iron/metal",iro@dry,physical
iro@dul,"dull, blunt, not sharp aspect of iron/metal",iro@dul,physical
iro@ele,"electron, charge aspect of iron/metal",iro@ele,physical
ism@shr,"sharing of doctrine, belief system, pract",ism@shr,abstract
jar@ity,"quality, state, condition of jar, preserve",jar@ity,abstract
jet@ave,"average, mean of jet, fast plane",jet@ave,abstract
jnz@how,"how, method, manner of noble person, gentleman, moral",jnz@how,abstract
jok@ang,"express anger through joke, humor",jok@ang,communication
jok@cal,"express calm through joke, humor",jok@cal,communication
jok@con,"express contraction through joke, humor",jok@con,communication
jok@fru,"express fruit, produce through joke, humor",jok@fru,communication
jok@hil,"hill, elevation of joke, humor",jok@hil,abstract
jok@joy,"express joy through joke, humor",jok@joy,communication
jok@riv,"river, stream of joke, humor",jok@riv,abstract
jok@sad,"express sadness through joke, humor",jok@sad,communication
joy@ang,anger within joy,joy@ang = emotional layering,emotion
joy@cal,calm within joy,joy@cal = emotional layering,emotion
joy@cat,"catalyst, accelerator with joy",joy@cat = emotionally charged action,emotion
joy@des,"desire, want strongly, crave within joy",joy@des = emotional layering,emotion
joy@dia,"diameter, across within joy",joy@dia = emotional layering,emotion
joy@gra,"grass, lawn within joy",joy@gra = emotional layering,emotion
joy@hop,hope within joy,joy@hop = emotional layering,emotion
joy@jum,"jump, leap with joy",joy@jum = emotionally charged action,emotion
joy@kin,"bittersweet blend: kind, gentle in joy",joy@kin,emotion
joy@lea,leader with joy,joy@lea = emotionally charged action,emotion
joy@lov,love within joy,joy@lov = emotional layering,emotion
joy@pru,"bittersweet blend: prudence, wisdom in action in joy",joy@pru,emotion
joy@pul,pulling with joy,joy@pul = emotionally charged action,emotion
joy@pus,pushing with joy,joy@pus = emotionally charged action,emotion
joy@run,"run, fast move with joy",joy@run = emotionally charged action,emotion
joy@sad,sadness within joy,joy@sad = emotional layering,emotion
joy@thr,"thread, string with joy",joy@thr = emotionally charged action,emotion
joy@wal,"wall, barrier with joy",joy@wal = emotionally charged action,emotion
joy@wro,"wrong, incorrect, mistaken within joy",joy@wro = emotional layering,emotion
jui@ast,"astronomy, celestial of juice, squeezed liquid",jui@ast,abstract
jum@age,"agent aspect of jump, leap","jum@age = when to jump, leap",temporal
jum@all,"all, every while jump, leap","jum@all = jump, leap state",action
jum@alw,"always aspect of jump, leap","jum@alw = when to jump, leap",temporal
jum@awa,"away, distant from, departing while jump, leap","jum@awa = jump, leap state",action
jum@bac,"backward direction of jump, leap","jum@bac = jump, leap backward",spatial
jum@bad,"bad form of jump, leap",jum@bad = execute in bad way,action
jum@bea,"beautiful form of jump, leap",jum@bea = execute in beautiful way,action
jum@cen,"center direction of jump, leap","jum@cen = jump, leap center",spatial
jum@con,"contraction form of jump, leap",jum@con = execute in contraction way,action
jum@dee,"execute jump, leap in deep, profound, thorough manner",jum@dee,action
jum@dil,"execute jump, leap in diligence, hard work manner",jum@dil,action
jum@dow,"downward direction of jump, leap","jum@dow = jump, leap downward",spatial
jum@dre,"dreaming while jump, leap","jum@dre = jump, leap state",action
jum@dro,"execute jump, leap in drought, dry manner",jum@dro,action
jum@dur,"duration, time span, interval aspect of jump, leap","jum@dur = when to jump, leap",temporal
jum@edg,"edge direction of jump, leap","jum@edg = jump, leap edge",spatial
jum@ene,"enemy while jump, leap","jum@ene = jump, leap state",action
jum@far,"far direction of jump, leap","jum@far = jump, leap far",spatial
jum@flu,"execute jump, leap in fluent, smooth generation (LLM succ manner",jum@flu,action
jum@fro,"in front direction of jump, leap","jum@fro = jump, leap in front",spatial
jum@ful,"full, complete while jump, leap","jum@ful = jump, leap state",action
jum@fut,"future aspect of jump, leap","jum@fut = when to jump, leap",temporal
jum@goo,"good form of jump, leap",jum@goo = execute in good way,action
jum@grd,"execute jump, leap in gradual, slow change manner",jum@grd,action
jum@har,"execute jump, leap in hard, resistant manner",jum@har,action
jum@hun,"hunger, appetite while jump, leap","jum@hun = jump, leap state",action
jum@imp,"implode, collapse form of jump, leap","jum@imp = execute in implode, collapse way",action
jum@ins,"inside direction of jump, leap","jum@ins = jump, leap inside",spatial
jum@jet,"execute jump, leap in jet, fast plane manner",jum@jet,action
jum@jnz,"execute jump, leap in noble person, gentleman, moral exem manner",jum@jnz,action
jum@kin,"execute jump, leap in kind, gentle manner",jum@kin,action
jum@lef,"left direction of jump, leap","jum@lef = jump, leap left",spatial
jum@mom,"moment, instant aspect of jump, leap","jum@mom = when to jump, leap",temporal
jum@nai,"execute jump, leap in nail, fasten manner",jum@nai,action
jum@nea,"near direction of jump, leap","jum@nea = jump, leap near",spatial
jum@nec,"neck, connect form of jump, leap","jum@nec = execute in neck, connect way",action
jum@nev,"never aspect of jump, leap","jum@nev = when to jump, leap",temporal
jum@now,"present moment aspect of jump, leap","jum@now = when to jump, leap",temporal
jum@nud,"execute jump, leap in nudge, gentle wake manner",jum@nud,action
jum@oft,"often aspect of jump, leap","jum@oft = when to jump, leap",temporal
jum@out,"outside direction of jump, leap","jum@out = jump, leap outside",spatial
jum@pai,"paint, visual art while jump, leap","jum@pai = jump, leap state",action
jum@pas,"past aspect of jump, leap","jum@pas = when to jump, leap",temporal
jum@per,"perceive, sense form of jump, leap","jum@per = execute in perceive, sense way",action
